entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	uniprot	cancer	cancer_type	cancer_dom	cancer_rec	duplicability	origin	mirna	function	chromosome	tstart	tend	aliases	main_refseq	duplicability_main_refseq	potential_false_positive	primary_sites	degree	betweenness	clustering	complexes
8805	TRIM24	tripartite motif containing 24	7q32-q34	4556	11812	603406	NP_003843;NP_056989	NM_003852;NM_015905	ENSP00000340507	O15164	TRUE	cgc	1	0	0	Eukaryotes	4	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr7	138145294	138269693	|PTC6|RNF82|TF1A|TIF1|TIF1A|TIF1ALPHA|hTIF1|	NP_056989	0	FALSE	1	53	8543	0.1300	4
8807	IL18RAP	interleukin 18 receptor accessory protein	2q12	5147	5989	604509	NP_003844;XP_005264091	NM_003853;XM_005264034	ENSP00000264260	O95256	TRUE	can	0	0	0	Vertebrates	0	Immune system response,Signal transduction	chr2	103039738	103068638	|ACPL|CD218b|CDw218b|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1R-7|IL-1R7|IL-1RAcPL|IL18RB|	NP_003844	0	FALSE	1	3	2164	0.0000	
8833	GMPS	guanine monphosphate synthase	3q24	10927	4378	600358	NP_003866	NM_003875	ENSP00000419851	P49915	TRUE	cgc	1	0	0	Last Universal Common Ancestor	1	Cellular metabolism,DNA/RNA metabolism and transcription	chr3	155611307	155655478	|NA|	NP_003866	0	FALSE	1	28	8117	0.1060	
8842	PROM1	prominin 1	4p15.32	5079	9454	604365	NP_001139319;NP_001139320;NP_001139321;NP_001139322;NP_001139323;NP_001139324;NP_006008;XP_005248252;XP_005248253;XP_006714036;XP_006714037	NM_001145847;NM_001145848;NM_001145849;NM_001145850;NM_001145851;NM_001145852;NM_006017;XM_005248195;XM_005248196;XM_006713973;XM_006713974	ENSP00000415481	O43490	TRUE	can	0	0	0	Metazoans	1	Cell response to stimuli	chr4	15981020	16077529	|AC133|CD133|CORD12|PROML1|RP41|STGD4|	NP_006008	0	FALSE	1	3	630	0.0000	
8847	DLEU2	deleted in lymphocytic leukemia 2 (non-protein coding)	13q14.3	-	13748	605766	-	NR_002612	-	NA	TRUE	can	0	0	-1	-	1	-1	-	0	0	|1B4|BCMSUN|DLB2|LINC00022|MIR15AHG|NCRNA00022|RFP2OS|TRIM13OS|	-	-1	FALSE	1				
8848	TSC22D1	TSC22 domain family, member 1	13q14	7414	16826	607715	NP_001230726;NP_001230727;NP_001230728;NP_006013;NP_904358;XP_005266639;XP_005266640;XP_006719950	NM_001243797;NM_001243798;NM_001243799;NM_006022;NM_183422;XM_005266582;XM_005266583;XM_006719887	ENSP00000397435	Q15714	TRUE	can	0	0	0	Metazoans	0	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr13	45008765	45150210	|Ptg-2|TGFB1I4|TSC22|	NP_904358	0	FALSE	1	162	112688	0.0200	1
8859	STK19	serine/threonine kinase 19	6p21.3	7281	11398	604977	NP_004188;NP_115830	NM_004197;NM_032454;NR_026717	ENSP00000220676;ENSP00000391798;ENSP00000413766	P49842	TRUE	can	0	0	-1	Eukaryotes	0	Cellular metabolism,Cellular processes	-	0	0	|D6S60|D6S60E|G11|HLA-RP1|	-	-1	FALSE	1				
8861	LDB1	LIM domain binding 1	10q24-q25	9144	6532	603451	NP_001106878;NP_003884;XP_005270319	NM_001113407;NM_003893;XM_005270262	ENSP00000306772;ENSP00000392466	Q86U70	TRUE	can	0	0	0	Metazoans	0	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription	chr10	103867853	103871294	|CLIM2|NLI|	NP_001106878	0	FALSE	1	34	26675	0.0770	7
8877	SPHK1	sphingosine kinase 1	17q25.2	4768	11240	603730	NP_001136073;NP_001136074;NP_068807;NP_892010;XP_005257823	NM_001142601;NM_001142602;NM_021972;NM_182965;XM_005257766	ENSP00000313681	Q9NYA1	TRUE	can	0	0	0	Last Universal Common Ancestor	3	Cell cycle,Cell motility and interactions,Cellular metabolism,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	chr17	74381187	74383664	|SPHK|	NP_892010	0	FALSE	1	14	3502	0.0990	1
8880	FUBP1	far upstream element (FUSE) binding protein 1	1p31.1	10349	4004	603444	NP_003893;XP_005271366;XP_006711084;XP_006711085	NM_003902;XM_005271309;XM_006711021;XM_006711022	ENSP00000359804	Q96AE4	TRUE	cgc	0	1	0	Eukaryotes	6	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr1	78414840	78444688	|FUBP|	XP_005271366	0	FALSE	2	62	22521	0.0990	1
8912	CACNA1H	calcium channel, voltage-dependent, T type, alpha 1H subunit	16p13.3	7442	1395	607904	NP_001005407;NP_066921;XP_005255709;XP_006721026;XP_006721027;XP_006721028;XP_006721029;XP_006721030;XP_006721031;XP_006721032	NM_001005407;NM_021098;XM_005255652;XM_006720963;XM_006720964;XM_006720965;XM_006720966;XM_006720967;XM_006720968;XM_006720969	ENSP00000334198	O95180	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cell cycle,Cellular processes,Development,Multicellular activities	chr16	1203738	1270991	|CACNA1HB|Cav3.2|ECA6|EIG6|	NP_066921	0	FALSE	1	6	162	0.0000	
8915	BCL10	B-cell CLL/lymphoma 10	1p22	4625	989	603517	NP_003912;XP_005271368	NM_003921;XM_005271311	ENSP00000271015	O95999	TRUE	cgc	1	0	0	Metazoans	3	Cell cycle,Cell response to stimuli,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Immune system response,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr1	85733313	85742035	|CARMEN|CIPER|CLAP|c-E10|mE10|	NP_003912	0	FALSE	1	63	38619	0.0810	18
8924	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2	15q13	6905	4868	605837	NP_004658;XP_005268333;XP_005268334;XP_006720789;XP_006720790	NM_004667;XM_005268276;XM_005268277;XM_006720726;XM_006720727	ENSP00000458767	O95714	TRUE	can	0	0	0	Last Universal Common Ancestor	3	Cellular metabolism,Cellular processes	chr15	28356912	28566579	|D15F37S1|MRT38|jdf2|p528|	NP_004658	0	FALSE	1	44	7968	0.0870	1
8925	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	15q22	6894	4867	605109	NP_003913;XP_005254799;XP_005254800;XP_005254803;XP_005254804;XP_006720791	NM_003922;XM_005254742;XM_005254743;XM_005254746;XM_005254747;XM_006720728;XR_243129	ENSP00000390158	Q15751	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cellular metabolism,Cellular processes	chr15	63901283	64067822	|p532|p619|	NP_003913	0	FALSE	1	18	940	0.0720	
8929	PHOX2B	paired-like homeobox 2b	4p12	9157	9143	603851	NP_003915	NM_003924	ENSP00000226382	Q99453	TRUE	cgc	0	1	0	-	0	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	chr4	41747827	41750627	|NBLST2|NBPhox|PMX2B|	NP_003915	0	FALSE	1	1	0	0.0000	
8969	HIST1H2AG	histone cluster 1, H2ag	6p22.1	-	4737	615012	NP_066408	NM_021064	ENSP00000330307;ENSP00000349873;ENSP00000351589;ENSP00000352119;ENSP00000352627	B2R5B3	TRUE	can	0	0	-1	Eukaryotes	2	DNA/RNA metabolism and transcription	-	0	0	|H2A.1b|H2A/p|H2AFP|H2AG|	-	-1	FALSE	1				
8997	KALRN	kalirin, RhoGEF kinase	3q21.2	6859	4814	604605	NP_001019831;NP_003938;NP_008995;XP_006713873;XP_006713874;XP_006713875;XP_006713876;XP_006713877;XP_006713878;XP_006713879;XP_006713880	NM_001024660;NM_003947;NM_007064;NR_028136;XM_006713810;XM_006713811;XM_006713812;XM_006713813;XM_006713814;XM_006713815;XM_006713816;XM_006713817	ENSP00000240874;ENSP00000262450;ENSP00000327716;ENSP00000362330	O60229	TRUE	can	0	0	0	Eukaryotes	1	Cellular metabolism,Cellular processes,Development,Signal transduction	chr3	123813685	124438314	|ARHGEF24|CHDS5|DUET|DUO|HAPIP|	NP_001019831	0	FALSE	1	20	3188	0.0370	4
9037	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	5p15.2	10219	10736	609297	NP_003957;XP_006714569;XP_006714570;XP_006714571	NM_003966;XM_006714506;XM_006714507;XM_006714508	ENSP00000371936	Q13591	TRUE	can	0	0	0	Opisthokonts	1	Development	chr5	9043012	9380058	|semF|	NP_003957	0	FALSE	1				1
9053	MAP7	microtubule-associated protein 7	6q23.3	4982	6869	604108	NP_001185537;NP_001185538;NP_001185540;NP_001185543;NP_001185544;NP_001185545;NP_001185546;NP_001185547;NP_001185548;NP_003971;XP_005267266;XP_006715661;XP_006715662;XP_006715663;XP_006715664	NM_001198608;NM_001198609;NM_001198611;NM_001198614;NM_001198615;NM_001198616;NM_001198617;NM_001198618;NM_001198619;NM_003980;XM_005267209;XM_006715598;XM_006715599;XM_006715600;XM_006715601	ENSP00000414712	Q14244	TRUE	can	0	0	0	Vertebrates	7	Cellular processes,Development	chr6	136666995	136847102	|E-MAP-115|EMAP115|	NP_001185538	0	FALSE	1	12	887	0.0610	
9096	TBX18	T-box 18	6q14-q15	-	11595	604613	NP_001073977;XP_006715665	NM_001080508;XM_006715602	ENSP00000358677	O95935	TRUE	can	0	0	0	Metazoans	0	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Other,Regulation of intracellular processes and metabolism,Regulation of transcription	chr6	85446406	85473899	|NA|	NP_001073977	0	FALSE	1				
9098	USP6	ubiquitin specific peptidase 6	17p13	6827	12629	604334	NP_004496;XP_005256902	NM_004505;NM_005152;XM_005256845	ENSP00000250066	P35125	TRUE	cgc	1	0	0	Eukaryotes	1	Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	chr17	5033663	5076270	|HRP1|TRE2|Tre-2|USP6-short|	NP_004496	0	FALSE	1	12	4892	0.0300	
9122	SLC16A4	solute carrier family 16, member 4	1p13.3	4855	10925	603878	NP_001188475;NP_001188476;NP_001188477;NP_001188478;NP_004687;XP_005271374;XP_005271375;XP_006711096	NM_001201546;NM_001201547;NM_001201548;NM_001201549;NM_004696;XM_005271317;XM_005271318;XM_006711033;XR_246304;XR_426639	ENSP00000358794	O15374	TRUE	can	0	0	0	Eukaryotes	2	Cellular processes	chr1	110906391	110931945	|NA|	NP_004687	0	FALSE	1	2	106	0.0000	
9125	RQCD1	RCD1 required for cell differentiation1 homolog (S. pombe)	2q35	8828	10445	612054	NP_001258563;NP_001258564;NP_005435;XP_005246999;XP_005247000;XP_006712895	NM_001271634;NM_001271635;NM_005444;NR_073390;XM_005246942;XM_005246943;XM_006712832	ENSP00000273064	Q92600	TRUE	can	0	0	0	Eukaryotes	2	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	chr2	219445284	219458996	|CNOT9|CT129|RCD-1|	NP_001258563	0	FALSE	1	20	3085	0.2210	
9126	SMC3	structural maintenance of chromosomes 3	10q25	5829	2468	606062	NP_005436	NM_005445	ENSP00000354720	Q9UQE7	TRUE	can	0	0	0	Last Universal Common Ancestor	3	Cell cycle,Cellular processes,DNA/RNA metabolism and transcription,Signal transduction	chr10	112328696	112364057	|CDLS3|CSPG6|SMC3L1|	NP_005436	0	FALSE	1	89	62126	0.0940	34
9133	CCNB2	cyclin B2	15q22.2	4131	1580	602755	NP_004692	NM_004701	ENSP00000288207	O95067	TRUE	can	0	0	1	Eukaryotes	0	Cell cycle	chr15	59399521	59417073	|HsT17299|	NP_004692	1	FALSE	1	10	124	0.3560	4
9135	RABEP1	rabaptin, RAB GTPase binding effector protein 1	17p13.2	4684	17677	603616	NP_001077054;NP_004694	NM_001083585;NM_004703	ENSP00000262477	Q15276	TRUE	cgc	1	0	0	Metazoans	1	Cell cycle,Cellular processes	chr17	5211982	5286515	|RAB5EP|RABPT5|	NP_004694	0	FALSE	1	40	8447	0.0670	2
9159	PCSK7	proprotein convertase subtilisin/kexin type 7	11q23-q24	-	8748	604872	NP_004707;XP_006719001;XP_006719002;XP_006719003	NM_004716;XM_006718938;XM_006718939;XM_006718940;XR_428984;XR_428985	ENSP00000325917	Q16549	TRUE	cgc	1	0	0	Last Universal Common Ancestor	0	Cellular metabolism,Cellular processes	chr11	117076716	117100560	|LPC|PC7|PC8|SPC7|	NP_004707	0	FALSE	1	7	8163	0.3810	
9172	MYOM2	myomesin 2	8p23.3	4619	7614	603509	NP_003961;XP_006716300	NM_003970;XM_006716237	ENSP00000262113;ENSP00000454232	P54296	TRUE	can	0	0	0	Vertebrates	0	Multicellular activities	chr8	1998881	2092902	|TTNAP|	NP_003961	0	FALSE	1	16	848	0.1330	
9175	MAP3K13	mitogen-activated protein kinase kinase kinase 13	3q27	5372	6852	604915	NP_001229243;NP_001229246;NP_004712	NM_001242314;NM_001242317;NM_004721;NR_038322	ENSP00000265026	O43283	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr3	185146370	185200241	|LZK|MEKK13|MLK|	NP_001229243	0	FALSE	1	6	89	0.2000	
9201	DCLK1	doublecortin-like kinase 1	13q13	9202	2700	604742	NP_001182344;NP_001182345;NP_001182359;NP_004725;XP_005266649;XP_006719956	NM_001195415;NM_001195416;NM_001195430;NM_004734;XM_005266592;XM_006719893	ENSP00000255448	O15075	TRUE	can	0	0	0	Eukaryotes	0	Cellular metabolism,Cellular processes,Development,Signal transduction	chr13	36348675	36700274	|CLICK1|DCAMKL1|DCDC3A|DCLK|	XP_005266649	0	FALSE	1	3	276	0.0000	
9203	ZMYM3	zinc finger, MYM-type 3	Xq13.1	2088	13054	300061	NP_001164633;NP_001164634;NP_005087;NP_963893;XP_005262366;XP_005262367;XP_006724778	NM_001171162;NM_001171163;NM_005096;NM_201599;XM_005262309;XM_005262310;XM_006724715	ENSP00000322845	Q14202	TRUE	can	0	0	0	Metazoans	0	-1	chrX	70460769	70473105	|DXS6673E|XFIM|ZNF198L2|ZNF261|	NP_005087	0	FALSE	2	17	3583	0.2350	4
9294	S1PR2	sphingosine-1-phosphate receptor 2	19p13.2	-	3169	605111	NP_004221;XP_006722999	NM_004230;XM_006722936	ENSP00000466933	O95136	TRUE	can	0	0	0	Vertebrates	0	Cell cycle,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	chr19	10334523	10335581	|AGR16|EDG-5|EDG5|Gpcr13|H218|LPB2|S1P2|	NP_004221	0	FALSE	1	5	124	0.1000	2
9314	KLF4	Kruppel-like factor 4 (gut)	9q31	-	6348	602253	NP_004226;XP_005252362	NM_004235;XM_005252305	ENSP00000363804	O43474	TRUE	cgc	1	0	0	Eukaryotes	9	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	chr9	110248035	110251333	|EZF|GKLF|	XP_005252362	0	FALSE	1	25	3041	0.3000	1
9321	TRIP11	thyroid hormone receptor interactor 11	14q31-q32	5143	12305	604505	NP_004230;XP_005268270;XP_005268271;XP_005268272;XP_006720384	NM_004239;XM_005268213;XM_005268214;XM_005268215;XM_006720321	ENSP00000267622	Q15643	TRUE	cgc	1	0	0	Metazoans	3	Cellular metabolism,DNA/RNA metabolism and transcription	chr14	92436020	92506029	|ACG1A|CEV14|GMAP-210|TRIP-11|TRIP230|	NP_004230	0	FALSE	1	11	521	0.1270	
9353	SLIT2	slit homolog 2 (Drosophila)	4p15.2	4776	11086	603746	NP_001276064;NP_001276065;NP_004778;XP_005248268;XP_005248271;XP_006714049	NM_001289135;NM_001289136;NM_004787;XM_005248211;XM_005248214;XM_006713986	ENSP00000422591	O94813	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cell cycle,Cell motility and interactions,Cell response to stimuli,Development,Immune system response,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	chr4	20255439	20620629	|SLIL3|Slit-2|	XP_005248268	0	FALSE	1	8	1373	0.1790	5
9368	SLC9A3R1	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1	17q25.1	5406	11075	604990	NP_004243	NM_004252	ENSP00000262613	O14745	TRUE	can	0	0	0	Metazoans	2	Regulation of intracellular processes and metabolism,Signal transduction	chr17	72744986	72764792	|EBP50|NHERF|NHERF-1|NHERF1|NPHLOP2|	NP_004243	0	FALSE	1	94	141205	0.0440	5
9369	NRXN3	neurexin 3	14q31	8989	8010	600567	NP_001098720;NP_001258949;NP_004787;NP_620426;XP_005268275;XP_006720385;XP_006720386	NM_001105250;NM_001272020;NM_004796;NM_138970;NR_073546;NR_073547;XM_005268218;XM_006720322;XM_006720323	ENSP00000338349	Q9Y4C0	TRUE	can	0	0	0	Metazoans	1	Cell cycle,Cell motility and interactions,Development	chr14	78709437	80328304	|C14orf60|	XP_005268275	0	TRUE	1	6	785	0.0000	
9378	NRXN1	neurexin 1	2p16.3	11858	8008	600565	NP_001129131;NP_004792;NP_620072;XP_005264699;XP_005264700;XP_006712196;XP_006712197;XP_006712198;XP_006712199;XP_006712200;XP_006712201;XP_006712202;XP_006712203;XP_006712204;XP_006712205;XP_006712206;XP_006712207	NM_001135659;NM_004801;NM_138735;XM_005264642;XM_005264643;XM_006712133;XM_006712134;XM_006712135;XM_006712136;XM_006712137;XM_006712138;XM_006712139;XM_006712140;XM_006712141;XM_006712142;XM_006712143;XM_006712144	ENSP00000385142	Q9ULB1	TRUE	can	0	0	0	Metazoans	0	Cell cycle,Cell motility and interactions,Development	chr2	50149085	51255411	|Hs.22998|PTHSL2|SCZD17|	NP_001129131	0	TRUE	2	28	48102	0.0080	1
9379	NRXN2	neurexin 2	11q13	11859	8009	600566	NP_055895;NP_620060;NP_620063;XP_005274457;XP_005274458;XP_005274459;XP_005274463;XP_006718805;XP_006718806;XP_006718807;XP_006718808;XP_006718809;XP_006718810;XP_006718811;XP_006718812	NM_015080;NM_138732;NM_138734;XM_005274400;XM_005274401;XM_005274402;XM_005274406;XM_006718742;XM_006718743;XM_006718744;XM_006718745;XM_006718746;XM_006718747;XM_006718748;XM_006718749;XR_428930;XR_428931	ENSP00000265459	Q9P2S2	TRUE	can	0	0	0	Metazoans	0	Cellular processes,Development,Multicellular activities,Signal transduction	chr11	64374671	64481171	|NA|	NP_055895	0	FALSE	1	9	741	0.0280	
9401	RECQL4	RecQ protein-like 4	8q24.3	4805	9949	603780	NP_004251	NM_004260	-	O94761	TRUE	cgc	0	1	0	-	1	Cell cycle,Cellular processes,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism	chr8	145736817	145743168	|RECQ4|	NP_004251	0	FALSE	1	12	804	0.1520	1
9407	TMPRSS11D	transmembrane protease, serine 11D	4q13.2	5642	24059	605369	NP_004253;XP_005265767	NM_004262;XM_005265710	ENSP00000283916	O60235	TRUE	can	0	0	0	Last Universal Common Ancestor	1	Cellular metabolism	chr4	68688058	68725398	|HAT|	NP_004253	0	FALSE	1				
9425	CDYL	chromodomain protein, Y-like	6p25.1	4803	1811	603778	NP_001137442;NP_001137443;NP_004815;XP_006715335	NM_001143970;NM_001143971;NM_004824;NM_170752;NR_026590;XM_006715272	ENSP00000380718	Q9Y232	TRUE	can	0	0	1	Last Universal Common Ancestor	0	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription	chr6	4891947	4954287	|CDYL1|	NP_004815	1	FALSE	1	20	2200	0.3160	2
9444	QKI	QKI, KH domain containing, RNA binding	6q26	6691	21100	609590	NP_006766;NP_996735;NP_996736;NP_996737;XP_005267281	NM_006775;NM_206853;NM_206854;NM_206855;XM_005267224;XR_245557;XR_427977;XR_427978	ENSP00000355094	Q96PU8	TRUE	can	0	0	0	Eukaryotes	3	Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr6	163836226	163987826	|Hqk|QK|QK1|QK3|hqkI|	NP_006766	0	FALSE	1	56	47340	0.1220	
9472	AKAP6	A kinase (PRKA) anchor protein 6	14q12	-	376	604691	NP_004265;XP_005268276	NM_004274;XM_005268219	ENSP00000280979	Q13023	TRUE	can	0	0	0	Vertebrates	0	Cellular processes	chr14	32902700	33293976	|ADAP100|ADAP6|AKAP100|PRKA6|mAKAP|	XP_005268276	0	FALSE	2	17	2229	0.2280	1
9500	MAGED1	melanoma antigen family D, 1	Xp11.23	2202	6813	300224	NP_001005332;NP_001005333;NP_008917	NM_001005332;NM_001005333;NM_006986	ENSP00000364847;ENSP00000472440	Q9Y5V3	TRUE	can	0	0	0	Eukaryotes	0	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chrX	51637401	51645023	|DLXIN-1|NRAGE|	NP_001005333	0	FALSE	1	104	73794	0.0400	
9542	NRG2	neuregulin 2	5q23-q33	-	7998	603818	NP_001171864;NP_004874;NP_053584;NP_053585;NP_053586;XP_005268590;XP_006714871;XP_006714872;XP_006714873	NM_001184935;NM_004883;NM_013981;NM_013982;NM_013983;NM_013984;NM_013985;XM_005268533;XM_006714808;XM_006714809;XM_006714810	ENSP00000354910	O14511	TRUE	can	0	0	0	Metazoans	0	Signal transduction	chr5	139227505	139422654	|DON1|HRG2|NTAK|	NP_053585	0	FALSE	1	2	0	1.0000	12
9577	BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)	2p23.2	8498	1106	610497	NP_001248769;NP_004890;NP_954661;NP_954662;NP_954663;NP_954664	NM_001261840;NM_004899;NM_199191;NM_199192;NM_199193;NM_199194	ENSP00000343412	Q9NXR7	TRUE	can	0	0	0	Eukaryotes	3	Cell cycle,Development,Regulation of intracellular processes and metabolism,Signal transduction	chr2	28117424	28550297	|BRCC4|BRCC45|	NP_004890	0	FALSE	1	39	7521	0.1610	1
9578	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)	14q32.3	8516	1738	614062	NP_006026;XP_005268284;XP_005268285;XP_005268286;XP_005268287	NM_006035;XM_005268227;XM_005268228;XM_005268229;XM_005268230	ENSP00000355237	Q9Y5S2	TRUE	can	0	0	0	Last Universal Common Ancestor	3	Cellular metabolism,Cellular processes,Development,Signal transduction	chr14	103400052	103523510	|MRCKB|	XP_005268284	0	FALSE	1	14	608	0.0330	
9601	PDIA4	protein disulfide isomerase family A, member 4	7q35	6501	30167	-	NP_004902;XP_006716248	NM_004911;XM_006716185	ENSP00000286091	P13667	TRUE	can	0	0	0	Last Universal Common Ancestor	1	Cellular processes,Regulation of intracellular processes and metabolism	chr7	148700889	148725500	|ERP70|ERP72|ERp-72|	NP_004902	0	FALSE	1	57	15713	0.1510	3
9603	NFE2L3	nuclear factor, erythroid 2-like 3	7p15.2	9162	7783	604135	NP_004280	NM_004289	ENSP00000056233	Q9Y4A8	TRUE	can	0	0	2	Vertebrates	0	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr7	26192119	26225400	|NRF3|	NP_004280	2	FALSE	2	9	326	0.5000	
9611	NCOR1	nuclear receptor corepressor 1	17p11.2	2911	7672	600849	NP_001177367;NP_001177369;NP_006302;XP_005256923;XP_005256924;XP_005256925;XP_005256928;XP_005256929;XP_005256930;XP_005256931;XP_005256932;XP_006721664;XP_006721665;XP_006721666;XP_006721667;XP_006721668	NM_001190438;NM_001190440;NM_006311;XM_005256866;XM_005256867;XM_005256868;XM_005256871;XM_005256872;XM_005256873;XM_005256874;XM_005256875;XM_006721601;XM_006721602;XM_006721603;XM_006721604;XM_006721605	ENSP00000268712	O75376	TRUE	can	0	0	0	Eukaryotes	0	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr17	15935613	16097883	|N-CoR|N-CoR1|PPP1R109|hN-CoR|	XP_005256923	0	FALSE	4	148	60905	0.1010	24
9612	NCOR2	nuclear receptor corepressor 2	12q24	2910	7673	600848	NP_001070729;NP_001193583;NP_006303	NM_001077261;NM_001206654;NM_006312	ENSP00000384018	Q9Y618	TRUE	can	0	0	0	Eukaryotes	5	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr12	124809951	124979797	|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|	NP_006303	0	FALSE	1	108	26024	0.1480	22
9651	PLCH2	phospholipase C, eta 2	1p36.32	-	29037	612836	NP_055453;XP_006711117;XP_006711118;XP_006725012;XP_006725013;XP_006725014	NM_014638;XM_006711054;XM_006711055;XM_006724949;XM_006724950;XM_006724951	ENSP00000367747	O75038	TRUE	can	0	0	0	Eukaryotes	1	Cellular metabolism,Signal transduction	chr1	2408028	2436649	|PLC-eta2|PLCL4|PLCeta2|	NP_055453	0	FALSE	1				
9659	PDE4DIP	phosphodiesterase 4D interacting protein	1q12	10482	15580	608117	NP_001002810;NP_001002811;NP_001002812;NP_001182189;NP_001182190;NP_001185761;NP_001185763;NP_055459;NP_071754;XP_005273038;XP_005277499;XP_005277500;XP_005277503;XP_006711705;XP_006711706;XP_006711707;XP_006711708;XP_006711709;XP_006711710;XP_006711711;XP_006711712;XP_006711713;XP_006711714;XP_006711715;XP_006711716;XP_006711717;XP_006711718;XP_006711719	NM_001002810;NM_001002811;NM_001002812;NM_001195260;NM_001195261;NM_001198832;NM_001198834;NM_014644;NM_022359;XM_005272981;XM_005277442;XM_005277443;XM_005277446;XM_006711642;XM_006711643;XM_006711644;XM_006711645;XM_006711646;XM_006711647;XM_006711648;XM_006711649;XM_006711650;XM_006711651;XM_006711652;XM_006711653;XM_006711654;XM_006711655;XM_006711656	ENSP00000462316	Q5VU43	TRUE	cgc	1	0	0	Eukaryotes	0	Cellular processes	chr1	144852357	144931708	|CMYA2|MMGL|	XP_005277499	0	FALSE	1	82	52639	0.0340	
9699	RIMS2	regulating synaptic membrane exocytosis 2	8q22.3	-	17283	606630	NP_001093587;NP_001269810;NP_001269811;NP_055492;XP_005251163;XP_005251164;XP_005251165;XP_006716753;XP_006716754;XP_006716755;XP_006716756;XP_006716757;XP_006716758;XP_006716759;XP_006716760;XP_006716761;XP_006716762	NM_001100117;NM_001282881;NM_001282882;NM_014677;XM_005251106;XM_005251107;XM_005251108;XM_006716690;XM_006716691;XM_006716692;XM_006716693;XM_006716694;XM_006716695;XM_006716696;XM_006716697;XM_006716698;XM_006716699	ENSP00000384892	Q9UQ26	TRUE	can	0	0	0	Metazoans	2	Cellular processes	chr8	104513115	105264045	|OBOE|RAB3IP3|RIM2|	XP_005251163	0	FALSE	4	16	4934	0.0420	
9700	ESPL1	extra spindle pole bodies homolog 1 (S. cerevisiae)	12q	6825	16856	604143	NP_036423;XP_006719768	NM_012291;XM_006719705	ENSP00000257934	Q14674	TRUE	can	0	0	0	Eukaryotes	4	Cell cycle,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism	chr12	53662551	53687255	|SEPA|	NP_036423	0	FALSE	1	14	1394	0.1430	4
